player_id,year,franchise_id,salary,released
24635,2004,7,2.7,FALSE
24686,2004,1,0.1,FALSE
24686,2004,3,0.5,TRUE
15246,2004,20,0.6,TRUE
15246,2004,23,0.1,FALSE
15748,2004,13,1.6,FALSE
16960,2004,13,3.4,FALSE
21349,2004,7,0.1,FALSE
21659,2004,7,0.1,FALSE
24765,2004,18,3.4,FALSE
22217,2004,22,5,FALSE
22474,2004,8,0.1,FALSE
24697,2004,18,2.7,FALSE
16553,2004,2,0.1,FALSE
24931,2004,16,2.9,FALSE
23376,2004,18,3,FALSE
10414,2004,12,1,TRUE
10414,2004,21,1,FALSE
11670,2004,11,0.5,FALSE
12070,2004,11,4,FALSE
13144,2004,12,7.4,FALSE
24472,2004,5,2,FALSE
24482,2004,20,6.2,FALSE
24684,2004,15,0.9,FALSE
24705,2004,7,2.5,FALSE
21327,2004,3,4,FALSE
22458,2004,15,6.2,FALSE
22713,2004,20,3.5,FALSE
24838,2004,17,0.5,FALSE
24838,2004,18,2.3,TRUE
13806,2004,5,1,FALSE
24679,2004,24,4,FALSE
15642,2004,15,4,FALSE
24760,2004,6,0.1,FALSE
24799,2004,14,0.1,FALSE
15931,2004,11,0.1,FALSE
16670,2004,14,2,FALSE
18128,2004,3,3.8,FALSE
20130,2004,3,3,FALSE
24783,2004,16,2.7,FALSE
23453,2004,5,0.1,FALSE
24810,2004,14,2,FALSE
14840,2004,24,1.5,FALSE
23092,2004,12,4,FALSE
24611,2004,5,0.1,FALSE
24611,2004,17,0.8,TRUE
10177,2004,15,0.9,FALSE
10420,2004,2,6.2,FALSE
15036,2004,8,4,FALSE
15461,2004,21,3,FALSE
19004,2004,21,4,FALSE
24576,2004,14,4.6,FALSE
23858,2004,12,4,FALSE
24384,2004,5,0.5,TRUE
14256,2004,12,1,FALSE
17568,2004,13,1.3,FALSE
17568,2004,19,1.3,TRUE
20127,2004,11,3.8,FALSE
22236,2004,9,0.5,FALSE
24610,2004,14,0.1,FALSE
10230,2004,19,6.2,FALSE
14612,2004,7,8,FALSE
24862,2004,9,0.9,FALSE
24502,2004,17,0.1,FALSE
24506,2004,18,4,FALSE
17306,2004,5,1,FALSE
24869,2004,18,2,FALSE
15254,2004,4,2.6,FALSE
15478,2004,14,4,FALSE
19368,2004,7,0.1,FALSE
20594,2004,15,4,FALSE
24476,2004,6,0.5,FALSE
24484,2004,18,0.9,FALSE
14800,2004,19,5.6,FALSE
24706,2004,5,3,FALSE
24562,2004,3,0.1,TRUE
24562,2004,18,0.1,FALSE
19710,2004,9,4,FALSE
24580,2004,1,5,FALSE
24592,2004,16,2,FALSE
22589,2004,11,0.9,FALSE
23395,2004,5,1,FALSE
10350,2004,17,0.3,TRUE
19565,2004,23,6.2,FALSE
22345,2004,17,0.5,FALSE
23358,2004,16,0.1,TRUE
23729,2004,21,1,FALSE
10797,2004,5,1.3,FALSE
11183,2004,15,5,FALSE
12569,2004,21,1,FALSE
12608,2004,9,0.9,FALSE
14974,2004,2,5,FALSE
15072,2004,24,0.9,FALSE
24709,2004,23,5,FALSE
19709,2004,14,0.1,FALSE
20487,2004,12,0.1,FALSE
24575,2004,18,3,FALSE
23331,2004,2,0.1,TRUE
10667,2004,6,5,FALSE
